Sequela Name,Health State Name,Health State Lay Description,Mean,Lower,Upper
Moderate pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.11433996700000003,0.077947085,0.158676813
Severe pelvic inflammatory diseases due to chlamydial infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.3242465507999999,0.219721318,0.44180474000000003
Asymptomatic gonococcal infection,Asymptomatic,,0,0,0
Mild gonococcal infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Epididymo-orchitis due to gonococcal infection,Epididymo-orchitis,has swelling and tenderness in the testicles and pain during urination. ,0.1281245327999997,0.086099005,0.18045061999999998
Primary infertility due to gonococcal infection,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.007564045,0.003335558,0.015242128
Secondary infertility due to gonococcal infection,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005145153,0.002002058,0.011025222499999997
Moderate pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.11433996700000003,0.077947085,0.158676813
Severe pelvic inflammatory diseases due to gonococcal infection,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.3242465507999999,0.219721318,0.44180474000000003
Asymptomatic trichomoniasis infection,Asymptomatic,,0,0,0
Acute trichomoniasis infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Asymptomatic herpes simplex virus-2 infection,Asymptomatic,,0,0,0
Recurrent symptomatic episode of genital herpes,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Initial symptomatic episode of genital herpes,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Primary infertility due to other sexually transmitted diseases,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.",0.007564045,0.003335558,0.015242128
Secondary infertility due to other sexually transmitted diseases,"Infertility, secondary","has at least one child, and wants to have more children. The person has a fertile partner, but the couple cannot conceive. ",0.005145153,0.002002058,0.011025222499999997
Moderate pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.11433996700000003,0.077947085,0.158676813
Severe pelvic inflammatory diseases due to other sexually transmitted diseases,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.3242465507999999,0.219721318,0.44180474000000003
Other sexually transmitted diseases residual,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",,,,
Latent tuberculosis infection,Asymptomatic,,0,0,0
Drug-susceptible tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.332620658,0.223629598,0.453926995
Multidrug-resistant tuberculosis without extensive drug resistance ,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.332620658,0.223629598,0.453926995
Extensively drug-resistant tuberculosis,"Tuberculosis, not HIV infected","has a persistent cough and fever, is short of breath, feels weak, and has lost a lot of weight.",0.332620658,0.223629598,0.453926995
Guillain-Barré syndrome due to lower respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.2961648466999997,0.19813263,0.41379709
Moderate lower respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe lower respiratory infections,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Guillain-Barré syndrome due to upper respiratory infections,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.2961648466999997,0.19813263,0.41379709
Mild upper respiratory infections,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Moderate upper respiratory infections,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Acute otitis media,Ear pain,has an ear-ache that causes some difficulty with daily activities.,0.013319973499999997,0.006878043,0.023644419999999996
Severe infectious complications due to chronic otitis media,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Mild hearing loss due to chronic otitis media,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.009557887,0.00419248,0.0188052
Moderate hearing loss due to chronic otitis media,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.026575171199999952,0.015295117500000002,0.042228913
Mild hearing loss with ringing due to chronic otitis media,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021431429,0.011755785,0.036158027
Moderate hearing loss with ringing due to chronic otitis media,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.073963036,0.048560812499999995,0.106579533
Vertigo with mild hearing loss due to chronic otitis media,Vertigo with mild hearing loss,,0.1218160654611371,0.079220649,0.17025245226115296
Vertigo with moderate hearing loss due to chronic otitis media,Vertigo with moderate hearing loss,,0.13683932136787366,0.089131899,0.18871289714104847
Vertigo with mild hearing loss and ringing due to chronic otitis media,Vertigo with mild hearing loss and ringing,,0.1323015733699122,0.086466799,0.18372988181483188
Vertigo with moderate hearing loss and ringing due to chronic otitis media,Vertigo with moderate hearing loss and ringing,,0.17866646028935337,0.12034716,0.24689385199373282
Guillain-Barré syndrome due to diarrheal diseases,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.",0.2961648466999997,0.19813263,0.41379709
Mild diarrheal diseases,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,0.073536964,0.0487335,0.104392015
Moderate diarrheal diseases,"Diarrhea, moderate","has diarrhea three or more times a day, with painful cramps in the belly and feeling thirsty",0.18787419850000006,0.12484303,0.26416233
Severe diarrheal diseases,"Diarrhea, severe",has diarrhea three or more times a day with severe belly cramps. The person is very thirsty and feels nauseous and tired. ,0.24709577250000017,0.164043595,0.347775068
Gastrointestinal bleeding due to typhoid,Gastric bleeding,vomits blood and feels nauseous.,0.3248039414999996,0.20924532499999998,0.462166763
Intestinal perforation due to typhoid,"Abdominopelvic problem, severe",has severe pain in the belly and feels nauseous. The person is anxious and unable to carry out daily activities.,0.3242465507999999,0.219721318,0.44180474000000003
Acute typhoid infection,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe typhoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Intestinal perforation due to paratyphoid,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.11433996700000003,0.077947085,0.158676813
Acute paratyphoid infection,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Moderate paratyphoid fever,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe paratyphoid fever,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Severe acute iNTS,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Other intestinal infectious diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",,,,
Mild malaria,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Mild malaria with mild anemia,"Infectious disease, acute episode, mild, with mild anemia",(combined DW),0.009456459,0.003737965,0.019990375
Mild malaria with moderate anemia,"Infectious disease, acute episode, mild, with moderate anemia",(combined DW),0.057010904,0.036645644,0.085295881
Mild malaria with severe anemia,"Infectious disease, acute episode, mild, with severe anemia",(combined DW),0.15368270742169057,0.1050009762129789,0.21399375001701576
Moderate malaria,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Moderate malaria with mild anemia,"Infectious disease, acute episode, moderate, with mild anemia",(combined DW),0.054091277,0.033975601,0.079322085
Moderate malaria with moderate anemia,"Infectious disease, acute episode, moderate, with moderate anemia",(combined DW),0.099421231,0.064835668,0.14205088137793373
Moderate malaria with severe anemia,"Infectious disease, acute episode, moderate, with severe anemia",(combined DW),0.1916201982464891,0.1328842561171029,0.262601199
Severe malaria,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Severe malaria with mild anemia,"Infectious disease, acute episode, severe, with mild anemia",(combined DW),0.1366087295088589,0.091457382,0.19248815000493388
Severe malaria with moderate anemia,"Infectious disease, acute episode, severe, with moderate anemia",(combined DW),0.17786794671433837,0.12183736967690265,0.2473762072803569
Severe malaria with severe anemia,"Infectious disease, acute episode, severe, with severe anemia",(combined DW),0.26167538066322105,0.18351671591987892,0.35904947510167873
Asymptomatic malaria parasitemia (PfPR),Asymptomatic,,0,0,0
Mild anemia due to malaria parasitemia (PfPR),"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.003696398,0.001312473,0.008138783
Moderate anemia due to malaria parasitemia (PfPR),"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.051541961500000025,0.033847375,0.075721813
Severe anemia due to malaria parasitemia (PfPR),"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.14876615300000026,0.10073293999999999,0.20911520249999996
Asymptomatic malaria vivax (PvPR),Asymptomatic,,0,0,0
Mild anemia due to malaria vivax (PvPR),"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.003696398,0.001312473,0.008138783
Moderate anemia due to malaria vivax (PvPR),"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.051541961500000025,0.033847375,0.075721813
Severe anemia due to malaria vivax (PvPR),"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.14876615300000026,0.10073293999999999,0.20911520249999996
Moderate motor impairment due to malaria,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.060833859,0.039587362499999994,0.08908513
Moderate motor impairment with blindness due to malaria,Moderate motor impairment with blindness,(combined DW),0.23648531544898732,0.1647713133515859,0.3230759605629558
Moderate motor impairment with epilepsy due to malaria,Moderate motor impairment with epilepsy,(combined DW),,,
Moderate motor impairment with blindness and epilepsy due to malaria,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
Moderate motor impairment with blindness and epilepsy due to malaria,Moderate motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment due to malaria,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.40161053799999963,0.268270568,0.545332718
Severe motor impairment with blindness due to malaria ,Severe motor impairment with blindness,(combined DW),0.5115479696286481,0.3651390306750295,0.6577634013273959
Severe motor impairment with epilepsy due to malaria,Severe motor impairment with epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness due to malaria,Moderate motor plus cognitive impairment with blindness,(combined DW),0.3510380294473931,0.24521213129145425,0.46739038855932424
Moderate motor plus cognitive impairment with blindness due to malaria,Moderate motor plus cognitive impairment with blindness,(combined DW),0.3510380294473931,0.24521213129145425,0.46739038855932424
Moderate motor plus cognitive impairment with epilepsy due to malaria,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with epilepsy due to malaria,Moderate motor plus cognitive impairment with epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness and epilepsy due to malaria,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness and epilepsy due to malaria,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Moderate motor plus cognitive impairment with blindness and epilepsy due to malaria,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment with blindness and epilepsy due to malaria,Severe motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor impairment with blindness and epilepsy due to malaria,Severe motor impairment with blindness and epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness due to malaria,Severe motor plus cognitive impairment with blindness,(combined DW),0.6250776791144188,0.4544960285254533,0.7777719981619349
Severe motor plus cognitive impairment with blindness due to malaria,Severe motor plus cognitive impairment with blindness,(combined DW),0.6250776791144188,0.4544960285254533,0.7777719981619349
Severe motor plus cognitive impairment with epilepsy due to malaria,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with epilepsy due to malaria,Severe motor plus cognitive impairment with epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness and epilepsy due to malaria,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness and epilepsy due to malaria,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Severe motor plus cognitive impairment with blindness and epilepsy due to malaria,Severe motor plus cognitive impairment with blindness and epilepsy,(combined DW),,,
Acute Chagas disease,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Asymptomatic Chagas disease,Asymptomatic,,0,0,0
Atrial fibrillation and flutter due to Chagas disease,Cardiac conduction disorders and cardiac dysrhythmias,has periods of rapid and irregular heartbeats and occasional fainting. ,0.2241563550000005,0.150973523,0.31209085249999996
Mild heart failure due to Chagas disease,"Heart failure, mild","is short of breath and easily tires with moderate physical activity, such as walking uphill or more than a quarter-mile on level ground. The person feels comfortable at rest or during activities requiring less effort.",0.041451894099999956,0.026103223,0.062339544999999996
Moderate heart failure due to Chagas disease,"Heart failure, moderate","is short of breath and easily tires with minimal physical activity, such as walking only a short distance. The person feels comfortable at rest but avoids moderate activity.",0.071653433,0.046600778,0.10308943
Severe heart failure due to Chagas disease,"Heart failure, severe","is short of breath and feels tired when at rest. The person avoids any physical activity, for fear of worsening the breathing problems. ",0.17906669620000035,0.1215548,0.25072915749999997
Mild chronic digestive disease due to Chagas disease,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011009249599999995,0.00537732,0.020820188
Moderate chronic digestive disease due to Chagas disease,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.11433996700000003,0.077947085,0.158676813
"Controlled, medically managed heart failure due to Chagas disease",Generic uncomplicated disease: worry and daily medication,has a chronic disease that requires medication every day and causes some worry but minimal interference with daily activities.,0.049011415,0.031121342499999996,0.072092547
Moderate visceral leishmaniasis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ",0.050594946,0.032378223,0.07405045
Severe visceral leishmaniasis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133411519,0.088459515,0.189501665
Cutaneous and mucocutaneous leishmaniasis,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.",0.066991754,0.04441772,0.095900522
Skin disfigurement due to Trypanosoma brucei gambiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517503900000038,0.015009938,0.042397048
Sleeping sickness due to Trypanosoma brucei gambiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.5416677713000005,0.37403827749999996,0.702242795
Sleeping sickness due to Trypanosoma brucei rhodesiense,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.5416677713000005,0.37403827749999996,0.702242795
Skin disfigurement due to Trypanosoma brucei rhodesiense,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.",0.026517503900000038,0.015009938,0.042397048
Mild schistosomiasis without anemia,"Infectious disease, acute episode, mild","has a low fever and mild discomfort , but no difficulty with daily activities.",0.005786497,0.00229985,0.012109072499999998
Mild anemia due to schistosomiasis,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.",0.003696398,0.001312473,0.008138783
Moderate anemia due to schistosomiasis,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.",0.051541961500000025,0.033847375,0.075721813
Severe anemia due to schistosomiasis,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.",0.14876615300000026,0.10073293999999999,0.20911520249999996
Mild diarrhea due to schistosomiasis,"Diarrhea, mild",has diarrhea three or more times a day with occasional discomfort in the belly.,0.073536964,0.0487335,0.104392015
Hematemesis due to schistosomiasis,Gastric bleeding,vomits blood and feels nauseous.,0.3248039414999996,0.20924532499999998,0.462166763
Hepatomegaly due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011009249599999995,0.00537732,0.020820188
Dysuria due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011009249599999995,0.00537732,0.020820188
Bladder pathology due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011009249599999995,0.00537732,0.020820188
Hydronephrosis due to schistosomiasis,"Abdominopelvic problem, mild",has some pain in the belly that causes nausea but does not interfere with daily activities.,0.011009249599999995,0.00537732,0.020820188
Ascites due to schistosomiasis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.11433996700000003,0.077947085,0.158676813
Neurocysticercosis with epilepsy,Epilepsy,(combined DW),,,
Chronic respiratory disease due to cystic echinococcosis,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.",0.019316720799999982,0.010635392500000002,0.03272288
Abdominal problems due to cystic echinococcosis,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,0.11433996700000003,0.077947085,0.158676813
Epilepsy due to echinococcosis,Epilepsy,(combined DW),,,
Prevalence of detectable microfiliaria due to lymphatic filariasis,Asymptomatic,,0,0,0
